coefficient_name,value,constrain
coef_acs_has_in_home_work_activity,-1.39,F
coef_age_above_35,-0.206,F
coef_cdap_N_non_mandatory_accessibility,0.0584,F
coef_dummy_missing_workplace,0.433,F
coef_has_preschool_at_home_has_in_home,0.341,F
coef_income_100_150,0.128,F
coef_income_150p,0.222,F
coef_industry_accomodation,-0.798,F
coef_industry_construction,-0.851,F
coef_industry_education,-0.541,F
coef_industry_entertainment,-1.09,F
coef_industry_government,-0.517,F
coef_industry_healthcare,-0.466,F
coef_industry_manufacturing,-0.415,F
coef_industry_mgmt_srv,-0.594,F
coef_industry_military,-0.645,F
coef_industry_other,-0.986,F
coef_industry_retail,-0.746,F
coef_intrazonal,0.586,F
coef_parttime_has_in_home,-0.631,F
coef_telecommute_1_day_cdap_H,1.43,F
coef_telecommute_1_day_cdap_N,0.397,F
coef_telecommute_2_3_4p_days_cdap_N,1.81,F
coef_telecommute_2_3_days_cdap_H,2.27,F
coef_telecommute_4p_days_cdap_H,2.54,F
coef_univ_student_has_in_home,-0.737,F
coef_work_from_home_cdap_H,2.81,F
coef_work_from_home_cdap_N,2.59,F
coef_workplace_mc_logsum,-0.0349,F
