coefficient_name,value,constrain
coef_acs_3_5,-1.32,F
coef_acs_5_7,-1.40,F
coef_asc_9_plus,-1.47,F
coef_dummy_missing_workplace_3_5,1.4,F
coef_dummy_missing_workplace_5_7,0.995,F
coef_hybrid_7_plus,-0.323,F
coef_income_100_150_3_7,-0.189,F
coef_income_150_plus_3_5,-0.201,F
coef_income_150_plus_5_7,-0.342,F
coef_part_time_3_5,1.45,F
coef_part_time_5_7,1.28,F
coef_part_time_9_plus,-0.849,F
coef_university_student_3_5,1.74,F
coef_university_student_5_7,1.42,F
coef_work_from_home_3_7,-0.297,F
coef_work_from_home_9_plus,-0.341,F
coef_workplace_mc_logsum_3_7,0.138,F
