Nothing,OMAZ,DMAZ,BIKE_LOGSUM,BIKE_TIME
2,1196,1607,-2.865,5.315
11,962,8861,0.012,4.676
13,1201,1453,-0.736,7.659
19,1003,7591,-2.059,7.565
29,1247,28,-1.851,7.623
43,1155,2881,-5.912,12.41
62,1201,1449,-1.436,7.766
63,1215,1015,-0.786,11.948
72,1215,1016,-0.484,10.36
79,1196,1606,-0.612,3.151
81,1247,25,-0.758,4.443
95,1155,2870,-0.091,4.179
99,887,11178,-2.785,7.384
108,887,11179,-2.851,7.511
111,1202,1415,1.031,6.602
114,1156,2841,-0.983,7.768
122,1215,1013,-0.531,13.069
134,1156,2835,-2.003,3.166
137,984,8167,-1.596,9.62
141,887,11174,-2.547,7.364
142,1178,2154,-1.425,8.956
144,1156,2836,-3.773,10.575
150,961,8881,-4.899,12.551
152,887,11175,-2.061,7.206
157,1178,2155,-4.331,12.625
160,887,11176,-2.088,6.763
170,1185,1939,3.515,2.719
177,1156,2838,-0.476,8.551
184,887,11170,-2.233,11.203
186,1201,1437,-1.346,6.098
187,1156,2832,-4.765,10.93
191,961,8877,-1.378,13.596
192,887,11171,-0.575,7.225
196,1155,2864,-0.285,3.228
201,887,11172,-0.516,5.829
203,1016,7174,0.166,6.962
207,1156,2834,1.235,4.554
212,887,11173,-0.445,5.561
220,1017,7136,-1.732,5.772
221,887,11166,-3.507,11.005
227,1201,1433,-0.786,3.919
235,887,11167,-4.458,11.973
239,1017,7137,-1.204,10.586
244,1201,1434,0.079,3.661
248,1213,1062,0.09,4.471
249,1210,1155,-1.06,8.728
253,1155,2860,0.162,4.468
255,887,11168,-3.026,11.1
262,887,11169,-5.779,12.586
269,1213,1056,0.181,2.722
271,1247,2,0.371,2.228
277,887,11162,-2.018,7.569
287,1013,7257,-1.876,10.584
288,887,11163,-1.446,7.674
292,1201,1430,-1.204,7.759
296,1041,6390,-3.316,12.538
303,887,11164,-3.552,10.884
306,1155,2857,-6.075,15.388
312,1017,7135,0.52,3.56
314,887,11165,-3.91,10.387
317,1185,1920,-1.632,9.095
321,982,8213,-1.475,6.558
326,887,11158,0.67,7.38
327,1215,991,-0.557,10.086
336,887,11159,0.344,7.599
342,1201,1426,-3.057,15.634
343,1213,1054,-1.81,6.77
350,887,11160,-0.559,5.503
358,1156,2822,-2.982,9.898
361,1062,5736,-1.637,9.482
362,887,11161,-0.256,9.345
372,904,10627,0.618,3.508
373,1156,2815,3.343,2.467
378,887,11154,-1.632,10.499
385,1178,2134,-2.153,9.594
386,887,11155,-3.018,10.471
392,961,8861,0.549,6.858
393,1041,6381,-1.922,9.936
401,1196,1577,-0.788,5.057
404,1213,1050,0.248,2.252
406,1164,2569,-0.859,5.587
421,887,11157,0.228,7.842
423,1215,982,-0.635,9.92
424,1237,300,-1.78,12.733
435,887,11150,-2.966,10.76
442,887,11151,-2.201,10.258
444,1215,984,-1.577,11.005
453,887,11152,-1.833,7.731
462,887,11153,-1.661,8.655
468,1155,2838,-1.232,6.473
469,1062,5721,-1.881,14.26
470,1013,7240,-2.148,9.244
473,887,11146,-1.529,9.045
474,1213,1041,-1.927,8.274
483,887,11147,-1.724,8.414
491,887,11148,-1.143,7.24
497,887,11149,-2.702,10.967
498,1201,1415,-0.854,8.14
500,1215,981,3.407,7.072
501,1196,1570,-4.026,7.421
504,1155,2841,-1.047,8.347
505,1155,2834,-2.405,10.194
507,1237,292,3.424,4.101
508,887,11142,-3.998,12.808
518,1155,2835,-4.507,12.408
524,887,11143,0.242,9.59
530,1155,2836,-0.634,2.584
531,1213,1038,0.099,4.037
532,887,11144,-2.358,9.73
539,1016,7145,-6.64,12.085
548,1016,7146,-4.691,11.662
552,887,11145,-1.431,8.85
553,1185,1900,-2.62,7.137
554,1237,288,-0.142,4.828
559,887,11138,-5.116,11.765
560,1196,1559,3.403,1.491
563,962,8813,-2.947,9.711
571,1178,2117,-1.426,9.237
574,1185,1901,-2.442,5.972
577,1156,2800,-1.075,12.993
581,887,11139,-4.119,11.775
583,1237,290,0.256,6.195
584,887,11140,-3.58,11.046
588,1178,2119,-1.744,5.816
603,887,11141,-0.281,10.348
607,1202,1369,-1.584,11.992
609,1164,2547,-1.284,5.78
611,887,11134,-3.023,14.82
616,1016,7135,-1.474,8.426
624,1016,7136,-0.751,4.984
626,887,11135,-4.755,14.49
635,1016,7137,1.44,3.802
638,887,11136,-5.541,12.569
643,887,11137,-5.424,16.216
647,1164,2550,-5.633,12.548
652,1215,962,0.341,6.577
653,1202,1365,0.735,5.418
654,1155,2822,-1.294,3.445
682,962,8807,-2.872,11.696
683,961,8838,-0.832,10.537
696,1038,6452,-0.975,7.185
703,1156,2787,-2.946,8.345
717,981,8213,-0.311,4.157
723,1156,2788,-0.018,3.127
734,1215,961,-0.045,3.003
747,1155,2942,-3.803,13.217
766,1155,2944,-5.447,14.607
778,1247,93,-0.728,6.801
779,962,8928,-2.018,10.248
792,1185,2008,-2.653,5.798
794,1247,86,-3.207,9.763
802,1111,4302,-1.626,14.596
811,1041,6473,-4.597,12.668
814,887,11247,-4.501,14.602
819,1062,5823,-3.788,8.955
832,1054,6072,-1.054,9.647
842,1202,1477,-0.503,9.692
843,1201,1508,-2.596,12.51
847,1156,2903,-3.812,11.806
852,1201,1509,-3.648,13.88
863,1185,2006,-2.112,6.087
867,1201,1510,-3.768,14.076
879,887,11244,-3.577,16.086
881,1164,2657,-3.243,11.398
882,1202,1480,-0.782,8.602
885,1247,85,-3.219,7.825
895,1201,1511,-4.418,13.53
904,1201,1504,-1.458,13.963
909,1164,2651,-0.669,5.622
